GeneID	TrueState
lcl|NC_002942.5_cds_WP_010947081.1_1337	0
lcl|NC_000964.3_cds_NP_391145.1_3375_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391741.1_3985_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389451.1_1614_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391681.1_3922_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391428.1_3661_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390788.1_3011_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444840.1_406	0
lcl|NC_000964.3_cds_NP_389525.2_1689_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389705.1_1872_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946782.1_1022	0
lcl|NC_000964.3_cds_NP_390144.1_2342_hgt_foreign	2
lcl|NC_002942.5_cds_WP_011213557.1_1188	0
lcl|NC_000964.3_cds_NP_391209.1_3443_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390991.1_3216_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948645.1_2955	0
lcl|NC_000964.3_cds_NP_388011.2_130_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388346.1_475_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391337.1_3570_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946941.1_1192	0
lcl|NC_002942.5_cds_WP_010948091.1_2368	0
lcl|NC_000964.3_cds_NP_391462.2_3693_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389553.2_1716_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948466.1_2761	0
lcl|NC_000964.3_cds_NP_390356.2_2558_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389533.2_1697_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388869.3_1004_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390600.1_2816_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390355.1_2557_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946509.1_748	0
lcl|NC_002942.5_cds_WP_010948580.1_2880	0
lcl|NC_000964.3_cds_NP_390686.1_2907_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389239.2_1394_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388622.1_762_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389696.1_1863_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388586.1_728_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388759.2_897_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946756.1_996	0
lcl|NC_002942.5_cds_WP_015443948.1_2746	0
lcl|NC_000964.3_cds_NP_391344.1_3577_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388273.1_397_hgt_foreign	2
lcl|NC_000964.3_cds_NP_387895.1_14_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946202.1_441	0
lcl|NC_000964.3_cds_NP_389487.1_1650_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946613.1_852	0
lcl|NC_000964.3_cds_NP_391439.1_3672_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389049.1_1188_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388001.1_120_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390748.1_2971_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389656.1_1821_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391016.1_3245_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947453.1_1711	0
lcl|NC_000964.3_cds_NP_388341.1_470_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947009.1_1265	0
lcl|NC_000964.3_cds_NP_388121.1_238_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444251.1_2041	0
lcl|NC_000964.3_cds_NP_390072.1_2263_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388597.1_739_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946459.1_697	0
lcl|NC_002942.5_cds_WP_010946209.1_448	0
lcl|NC_000964.3_cds_NP_387963.1_82_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389694.1_1861_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390620.1_2837_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947078.1_1334	0
lcl|NC_002942.5_cds_WP_011214707.1_442	0
lcl|NC_000964.3_cds_NP_390981.1_3206_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391895.1_4140_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391236.1_3471_hgt_foreign	2
lcl|NC_002942.5_cds_WP_011216539.1_2661	0
lcl|NC_000964.3_cds_NP_389380.1_1541_hgt_foreign	2
lcl|NC_000964.3_cds_YP_003097674.1_338_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389376.1_1537_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390140.1_2338_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391158.1_3390_hgt_foreign	2
lcl|NC_000964.3_cds_NP_387890.1_9_hgt_foreign	2
lcl|NC_000964.3_cds_NP_387920.1_39_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389573.3_1733_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388199.2_319_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390450.1_2658_hgt_foreign	2
lcl|NC_000964.3_cds_YP_009513943.1_443_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389272.1_1428_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946643.1_882	0
lcl|NC_000964.3_cds_NP_390149.1_2346_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389250.1_1405_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947757.1_2021	0
lcl|NC_002942.5_cds_WP_015444105.1_2366	0
lcl|NC_000964.3_cds_NP_391574.1_3811_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948044.1_2313	0
lcl|NC_000964.3_cds_NP_388691.1_828_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388149.1_268_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390732.1_2954_hgt_foreign	2
lcl|NC_000964.3_cds_YP_003097710.1_1249_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010945786.1_24	0
lcl|NC_002942.5_cds_WP_010948679.1_2989	0
lcl|NC_002942.5_cds_WP_010946755.1_995	0
lcl|NC_000964.3_cds_NP_390950.1_3175_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391801.1_4044_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389308.1_1466_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388865.1_1000_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391232.1_3467_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391187.1_3420_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388510.1_648_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388847.1_983_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390517.1_2727_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391125.1_3352_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444489.1_1515	0
lcl|NC_000964.3_cds_NP_389102.1_1246_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388961.1_1099_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391769.1_4013_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391635.1_3874_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389284.1_1441_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390346.2_2548_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390909.2_3133_hgt_foreign	2
lcl|NC_000964.3_cds_NP_387966.1_85_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390885.1_3110_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948462.1_2757	0
lcl|NC_002942.5_cds_WP_010945830.1_71	0
lcl|NC_002942.5_cds_WP_015443982.1_2658	0
lcl|NC_000964.3_cds_NP_390602.1_2818_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947743.1_2007	0
lcl|NC_000964.3_cds_NP_388049.3_169_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947112.1_1368	0
lcl|NC_002942.5_cds_WP_010947454.1_1712	0
lcl|NC_000964.3_cds_NP_391078.1_3305_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389726.2_1895_hgt_foreign	2
lcl|NC_002942.5_cds_WP_011213009.1_318	0
lcl|NC_002942.5_cds_WP_010947266.1_1523	0
lcl|NC_000964.3_cds_NP_388525.2_663_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391739.1_3983_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391109.1_3336_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391328.2_3561_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388180.2_300_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444633.1_1070	0
lcl|NC_002942.5_cds_WP_010946484.1_722	0
lcl|NC_002942.5_cds_WP_010948631.1_2938	0
lcl|NC_000964.3_cds_NP_391107.1_3334_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391271.1_3506_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391698.2_3939_hgt_foreign	2
lcl|NC_002942.5_cds_WP_011213101.1_450	0
lcl|NC_000964.3_cds_NP_388813.1_950_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391784.2_4027_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948348.1_2639	0
lcl|NC_000964.3_cds_NP_391305.1_3540_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946945.1_1196	0
lcl|NC_000964.3_cds_NP_391615.1_3853_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947464.1_1722	0
lcl|NC_002942.5_cds_WP_010947261.1_1518	0
lcl|NC_000964.3_cds_NP_390335.1_2537_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388506.1_643_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390269.1_2470_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390069.1_2260_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389800.1_1978_hgt_foreign	2
lcl|NC_000964.3_cds_NP_387934.1_53_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947515.1_1772	0
lcl|NC_002942.5_cds_WP_010946753.1_993	0
lcl|NC_000964.3_cds_NP_389445.1_1607_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391762.1_4006_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444473.1_1551	0
lcl|NC_000964.3_cds_NP_388886.1_1024_hgt_foreign	2
lcl|NC_000964.3_cds_YP_003097680.1_444_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010947288.1_1545	0
lcl|NC_000964.3_cds_NP_389345.1_1505_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946571.1_809	0
lcl|NC_000964.3_cds_NP_391387.1_3621_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390441.1_2648_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391879.2_4122_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390171.1_2370_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015443916.1_2837	0
lcl|NC_000964.3_cds_NP_389229.1_1382_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388088.1_206_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390581.1_2794_hgt_foreign	2
lcl|NC_000964.3_cds_YP_003097755.1_2363_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389732.1_1901_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389166.1_1317_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946244.1_482	0
lcl|NC_000964.3_cds_NP_389411.2_1573_hgt_foreign	2
lcl|NC_000964.3_cds_YP_009513967.1_2057_hgt_foreign	2
lcl|NC_000964.3_cds_NP_390259.1_2459_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389771.1_1949_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388704.1_841_hgt_foreign	2
lcl|NC_002942.5_cds_WP_011946725.1_1767	0
lcl|NC_000964.3_cds_NP_389169.1_1320_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391142.1_3371_hgt_foreign	2
lcl|NC_000964.3_cds_NP_388421.1_557_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391336.1_3569_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389408.2_1570_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389172.2_1324_hgt_foreign	2
lcl|NC_000964.3_cds_YP_009514005.1_3720_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389812.1_1990_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391880.2_4123_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391718.1_3960_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948455.1_2750	0
lcl|NC_000964.3_cds_NP_389530.1_1694_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444660.1_1003	0
lcl|NC_000964.3_cds_NP_390928.1_3153_hgt_foreign	2
lcl|NC_000964.3_cds_NP_391682.1_3923_hgt_foreign	2
lcl|NC_000964.3_cds_NP_389390.1_1552_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946216.1_454	0
lcl|NC_002942.5_cds_WP_011216527.1_2648	0
lcl|NC_000964.3_cds_NP_389083.2_1226_hgt_foreign	2
