GeneID	TrueState
lcl|NC_002942.5_cds_WP_010948455.1_2750	0
lcl|NW_004457554.1_cds_XP_004342101.1_5582_hgt_foreign	2
lcl|NW_004457297.1_cds_XP_004334373.1_13431_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444633.1_1070	0
lcl|NW_004457532.1_cds_XP_004341407.1_6317_hgt_foreign	2
lcl|NW_004457618.1_cds_XP_004367596.1_3388_hgt_foreign	2
lcl|NW_004457406.1_cds_XP_004338090.1_9750_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444419.1_1723	0
lcl|NW_004457532.1_cds_XP_004341523.1_6432_hgt_foreign	2
lcl|NW_004457702.1_cds_XP_004356557.1_929_hgt_foreign	2
lcl|NW_004457554.1_cds_XP_004342017.1_5498_hgt_foreign	2
lcl|NW_004457518.1_cds_XP_004341042.1_6735_hgt_foreign	2
lcl|NW_004457380.1_cds_XP_004337031.1_10461_hgt_foreign	2
lcl|NC_002942.5_cds_WP_015444840.1_406	0
lcl|NC_002942.5_cds_WP_010948467.1_2762	0
lcl|NW_004457431.1_cds_XP_004338608.1_9053_hgt_foreign	2
lcl|NW_004457380.1_cds_XP_004336997.1_10427_hgt_foreign	2
lcl|NW_004457702.1_cds_XP_004356493.1_865_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946941.1_1192	0
lcl|NC_002942.5_cds_WP_011216539.1_2661	0
lcl|NW_004457702.1_cds_XP_004356815.1_1187_hgt_foreign	2
lcl|NW_004457654.1_cds_XP_004352773.1_2084_hgt_foreign	2
lcl|NW_004457554.1_cds_XP_004342023.1_5504_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946209.1_448	0
lcl|NC_002942.5_cds_WP_015444251.1_2041	0
lcl|NC_002942.5_cds_WP_011216798.1_2952	0
lcl|NC_002942.5_cds_WP_010947112.1_1368	0
lcl|NC_002942.5_cds_WP_015444791.1_533	0
lcl|NC_002942.5_cds_WP_010946945.1_1196	0
lcl|NC_002942.5_cds_WP_015444105.1_2366	0
lcl|NW_004457554.1_cds_XP_004342223.1_5703_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010946585.1_823	0
lcl|NW_004457268.1_cds_XP_004333709.1_14205_hgt_foreign	2
lcl|NW_004457431.1_cds_XP_004338732.1_9177_hgt_foreign	2
lcl|NW_004457598.1_cds_XP_004347083.1_3896_hgt_foreign	2
lcl|NW_004457511.1_cds_XP_004340869.1_6948_hgt_foreign	2
lcl|NW_004457514.1_cds_XP_004340907.1_6919_hgt_foreign	2
lcl|NW_004457342.1_cds_XP_004335794.1_11889_hgt_foreign	2
lcl|NW_004457532.1_cds_XP_004341418.1_6328_hgt_foreign	2
lcl|NW_004457464.1_cds_XP_004340103.1_7705_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948386.1_2678	0
lcl|NW_004457486.1_cds_XP_004340527.1_7254_hgt_foreign	2
lcl|NW_004457654.1_cds_XP_004353135.1_2446_hgt_foreign	2
lcl|NC_002942.5_cds_WP_010948631.1_2938	0
